name,id,type,health,speed,weapon1,weapon1_cool,weapon1_ammo,weapon2,weapon2_cool,weapon2_ammo,weapon3,weapon3_cool,weapon3_ammo,weapon4,weapon4_cool,weapon4_ammo,antibullet,water,v_sizew,v_sizeh,v_menber,v_break,v_ridef,v_position1,v_position2,v_position3,v_position4,v_position5,fuel,attack,inventory,third_person_camera_radius,maxtuen,family,engname,,,,sub
vehicle,m4,tank,200,0.2,76mm,60,5,vmg,1,20,,0,0,,0,0,2,,3,2,1,F,"[ ""USAteam"",""USAplayer""]","[ 0.0, 2.6, 0.0 ]",,,,,2,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,t97t,tank,160,0.22,47mm,30,5,vmg,1,20,,0,0,,0,0,2,,3,2,1,F,"[ ""JAPteam"",""JAPplayer""]","[ 0.0, 2, 0.0 ]",,,,,2,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,valentine,tank,280,0.2,57mm,40,5,vmg,1,20,,0,0,,0,0,2,,3,2,1,F,"[ ""ENGteam"",""ENGplayer""]","[ 0.0, 2, 0.0 ]",,,,,2,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,kv2,tank,400,0.15,152mm,160,5,,0,0,,0,0,,0,0,3,,4,4,1,F,"[ ""SOVteam"",""SOVplayer""]","[0, 3.2,0.0 ]",,,,,4,24,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,tiger,tank,350,0.2,88mm,80,5,vmg,1,20,,0,0,,0,0,3,,4,4,1,F,"[ ""GERteam"",""GERplayer""]","[0, 2.7,0.0 ]",,,,,4,12,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,t98t,tank,120,0.28,37mm,20,5,vmg,1,20,,0,0,,0,0,2,,2.5,2,1,F,"[ ""JAPteam"",""JAPplayer""]","[ 0.0, 1.4, 0.0 ]",,,,,1,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,t17e1,apc,150,0.25,37mm,20,5,vmg,1,20,,0,0,,0,0,2,,2.5,2,1,F,"[ ""ENGteam"",""ENGplayer""]","[ 0.0, 2, 0.0 ]",,,,,1,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,t17e2,apc,150,0.25,20mmmcaird,1,20,,0,0,,0,0,,0,0,2,,2.5,2,1,F,"[ ""ENGteam"",""ENGplayer""]","[ 0.0, 1.5, 0.0 ]",,,,,1,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,wirbelwind,tank,180,0.25,20mmmcairw,1,20,,0,0,,0,0,,0,0,2,,3,2,1,F,"[ ""GERteam"",""GERplayer""]","[ 0.0, 1.8, 0.0]",,,,,3,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,20mmaa,set,50,0,20mmmcair,1,20,,0,0,,0,0,,0,0,0,,1,1.8,1,F,"[ ""axis_soldier"",""allied_soldier"",""player""]","[ 0, 0.5, -0.4 ]",,,,,0,0,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,flak18,set,50,0,125mm,60,5,vmg,1,20,,0,0,,0,0,0,,2,2,1,F,"[ ""axis_soldier"",""allied_soldier"",""player""]","[ 0.35, 0.25, -0.35 ]",,,,,0,0,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,pak40,set,50,0,105mm,50,5,vmg,1,20,,0,0,,0,0,0,,2,2,1,F,"[ ""axis_soldier"",""allied_soldier"",""player""]","[ 0, 0, -0.4 ]",,,,,0,0,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,m13aa,apc,170,0.25,20mmmcaird,1,20,,0,0,,0,0,,0,0,2,,2.5,2,1,F,"[ ""USAteam"",""USAplayer""]","[0, 2, -1.8]",,,,,0,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,bm13aa,apc,150,0.25,14.5mmhmg,1,20,,0,0,,0,0,,0,0,2,,2.5,2,2,F,[ "SOVplayer"],"[0, 2.1, -3.6]","[0.7, 1, 0.3]",,,,1,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,t98taa,tank,120,0.28,20mmmcair,1,20,vmg,1,20,,0,0,,0,0,2,,2.5,2,1,F,"[ ""JAPteam"",""JAPplayer""]","[0, 1.2, 0]",,,,,1,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,m5,tank,160,0.3,37mm,20,5,vmg,1,20,,0,0,,0,0,2,,3,2,1,F,"[ ""USAteam"",""USAplayer""]","[ 0.0, 2.1, 0.0 ]",,,,,2,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,bm13,apc,150,0.25,37mmrocketkatyusya,4,6,,0,0,,0,0,,0,0,2,,2.5,2,2,F,[ "SOVplayer"],"[0.7, 1, 0.3]","[-0.7, 1, 0.3]",,,,1,7,,32,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
